2024-04-17 20:27:10,606 dycore_driver.py     (314 ) : initialize          :  INFO     initialize parallel runtime
2024-04-17 20:27:10,606 dycore_driver.py     (315 ) : initialize          :  INFO     reading configuration: experiment jabw
2024-04-17 20:27:10,610 serialbox_utils.py   (1355) : print_info          :  INFO     SAVEPOINTS: [<Savepoint icon-jabw-const {"n_dom": 1, "date": 2008-09-01T00:00:00.000}>, <Savepoint icon-jabw-init {"nproma": 50000, "nlev": 35, "id": 1, "date": 2008-09-01T00:00:00.000}>, <Savepoint icon-jabw-intermediate {"nproma": 50000, "nlev": 35, "id": 1, "date": 2008-09-01T00:00:00.000}>, <Savepoint icon-jabw-final {"nproma": 50000, "nlev": 35, "id": 1, "date": 2008-09-01T00:00:00.000}>, <Savepoint first_output_var {"nproma": 50000, "nlev": 35, "limited_area": false, "n_dom": 1, "iforcing": 0, "id": 1, "date": 2008-09-01T00:00:00.000}>, <Savepoint icon-grid {"nsteps": 2, "nproma": 50000, "nlev": 35, "limited_area": false, "n_dom": 1, "iforcing": 0, "id": 1, "dtime": 300.000000, "date": 2008-09-01T00:10:00.000}>, <Savepoint interpolation_state {"id": 1}>, <Savepoint metric_state {"id": 1}>]
2024-04-17 20:27:10,610 serialbox_utils.py   (1356) : print_info          :  INFO     FIELDNAMES: ['zeta_v_init', 'zd_vertoffset', 'z_ifc', 'wgtfacq_e', 'wgtfacq_c_dsl', 'w_init', 'vwind_expl_wgt', 'vn_init', 'vn_final', 'vertoffset_gradp_dsl', 'vct_b', 'vcoef', 'v_start_index', 'v_refin_ctl', 'v_num_edges', 'v_lat', 'v_glb_index', 'v_edge_orientation', 'v2c2v', 'wgtfac_e', 'v2c', 'theta_ref_mc', 'theta_ref_ic', 'temperature_intermediate', 'temperature_init', 'temperature_final', 'theta_v_intermediate', 'tangent_orientation', 'scalfac_dd3d', 'rho_init', 'rho_final', 'rbf_vec_idx_v', 'rbf_vec_coeff_v1', 'w_final', 'rbf_vec_coeff_e', 'rbf_vec_coeff_c1', 'primal_normal_vert_x', 'theta_ref_me', 'exner_ref_mc', 'edge_cell_length', 'exner_intermediate', 'ddqz_z_full_e', 'etat', 'edges_center_lon', 'eta0', 'zeta_v_e_final', 'v_lon', 'dtemp', 'edge_areas', 'e2c2v', 'e_glb_index', 'lonC', 'e_flx_avg', 'e2v', 'e_decomp_domain', 'dual_normal_cell_y', 'ddxt_z_full', 'gamma', 'dual_normal_cell_x', 'e_owner_mask', 'c_glb_index', 'coeff1_dwdz', 'zd_diffcoef', 'dual_normal_vert_x', 'dual_normal_vert_y', 'cell_center_lat', 'c_decomp_domain', 'vct_a', 'jw_u0', 'n_patch_cells_g', 'output_diag_temperature_ifc', 'zdiff_gradp_dsl', 'n_patch_verts', 'primal_edge_length', 'rbf_vec_blk_v', 'coeff2_dwdz', 'pressure_final', 'c_intp', 'c2e2c2e', 'ddqz_z_full', 'rho_ref_me', 'output_diag_pressure', 'vwind_impl_wgt', 'c2e', 'inv_primal_edge_length', 'e_refin_ctl', 'boundary_depth_index', 'e_bln_c_s', 'cell_center_lon', 'exner_init', 'zeta_v_e_init', 'output_diag_ddt_vn_phy', 'ddqz_z_half', 'pressure_intermediate', 'e2c2e', 'v_dual_area', 'inv_ddqz_z_full', 'cells_edge_orientation', 'n_patch_cells', 'rbf_vec_coeff_c2', 'dual_edge_length', 'c_start_index', 'e_start_index', 'theta_v_final', 'primal_normal_v2', 'c2e2c', 'rho_ref_mc', 'rbf_vec_coeff_v2', 'exner_final', 'cell_areas', 'coeff_gradekin', 'd2dexdz2_fac1_mc', 'c_lin_e', 'd2dexdz2_fac2_mc', 'e_end_index', 'c_owner_mask', 'num_cells', 'output_diag_pressure_ifc', 'd_exner_dz_ref_ic', 'bdy_halo_c', 'output_diag_ddt_vn_apc_pc', 'ddxn_z_full', 'jw_temp0', 'geofac_grdiv', 'inv_vert_vert_length', 'edges_center_lat', 'n_patch_edges_g', 'v_owner_mask', 'geofac_grg', 'geofac_n2s', 'f_e', 'geofac_rot', 'zeta_v_final', 'c_end_index', 'output_diag_virtual_temperature', 'rho_intermediate', 'geopot', 'p_sfc_jabw', 'hmask_dd3d', 'v2e', 'output_diag_ddt_w_adv_ntl', 'inv_dual_edge_length', 'output_diag_u', 'theta_v_init', 'ipeidx_dsl', 'jw_up', 'latC', 'e2c', 'output_diag_ddt_exner_phy', 'pg_edgeidx_dsl', 'mask_hdiff', 'mean_cell_area', 'n_patch_edges', 'exner_exfac', 'primal_normal_vert_y', 'n_patch_verts_g', 'nflat_gradp', 'wgtfac_c', 'nflatlev', 'nrdmax', 'wgtfacq_c', 'nshift', 'nudgecoeff_e', 'geofac_div', 'num_edges', 'mask_prog_halo_c', 'num_vert', 'output_diag_exner_pr', 'output_diag_pressure_sfc', 'output_diag_temperature', 'v_decomp_domain', 'primal_normal_v1', 'output_diag_v', 'pg_exdist_dsl', 'c2v', 'pos_on_tplane_e_x', 'pos_on_tplane_e_y', 'c_refin_ctl', 'pressure_init', 'nshift_total', 'pressure_surface', 'v_end_index', 'primal_normal_cell_x', 'nlev', 'primal_normal_cell_y', 'rayleigh_w']
2024-04-17 20:27:10,611 dycore_driver.py     (320 ) : initialize          :  INFO     initializing the grid from '../testdata/jw_rank1_nproma50000'
2024-04-17 20:27:10,656 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    c_owner_mask (20480,)
2024-04-17 20:27:10,664 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity c2e2c : (20480, 3)
2024-04-17 20:27:10,666 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity e2c2e : (30720, 4)
2024-04-17 20:27:10,668 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity c2e : (20480, 3)
2024-04-17 20:27:10,669 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity c2v : (20480, 3)
2024-04-17 20:27:10,670 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity e2c : (30720, 2)
2024-04-17 20:27:10,673 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity c2e2c2e : (20480, 9)
2024-04-17 20:27:10,676 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity c2e2c2e : (20480, 9)
2024-04-17 20:27:10,678 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity e2v : (30720, 4)
2024-04-17 20:27:10,678 serialbox_utils.py   (304 ) : e2v                 :  DEBUG    real e2v (30720, 2)
2024-04-17 20:27:10,679 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity v2e : (10242, 6)
2024-04-17 20:27:10,681 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity v2c : (10242, 6)
2024-04-17 20:27:10,682 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity v2c2v : (10242, 6)
2024-04-17 20:27:10,683 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity v2c2v : (10242, 6)
2024-04-17 20:27:10,684 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity e2v : (30720, 4)
2024-04-17 20:27:10,685 serialbox_utils.py   (279 ) : _get_connectivity_array:  DEBUG     connectivity c2v : (20480, 3)
2024-04-17 20:27:10,689 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    e_bln_c_s (20480, 3)
2024-04-17 20:27:10,691 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    rbf_vec_coeff_v1 (10242, 6)
2024-04-17 20:27:10,693 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    rbf_vec_coeff_v2 (10242, 6)
2024-04-17 20:27:10,694 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    geofac_div (20480, 3)
2024-04-17 20:27:10,696 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    geofac_n2s (20480, 4)
2024-04-17 20:27:10,696 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    nudgecoeff_e (30720,)
2024-04-17 20:27:10,702 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    mask_hdiff (20480, 35)
2024-04-17 20:27:10,720 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    theta_ref_mc (20480, 35)
2024-04-17 20:27:10,738 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    wgtfac_c (20480, 36)
2024-04-17 20:27:10,875 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    zd_diffcoef (20480, 35)
2024-04-17 20:27:10,880 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    c_lin_e (30720, 2)
2024-04-17 20:27:10,881 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    c_intp (10242, 6)
2024-04-17 20:27:10,883 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    e_flx_avg (30720, 5)
2024-04-17 20:27:10,884 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    geofac_grdiv (30720, 5)
2024-04-17 20:27:10,886 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    geofac_rot (10242, 6)
2024-04-17 20:27:10,888 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    pos_on_tplane_e_x (30720, 8)
2024-04-17 20:27:10,891 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    pos_on_tplane_e_y (30720, 8)
2024-04-17 20:27:10,894 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    e_bln_c_s (20480, 3)
2024-04-17 20:27:10,895 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    rbf_vec_coeff_v1 (10242, 6)
2024-04-17 20:27:10,897 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    rbf_vec_coeff_v2 (10242, 6)
2024-04-17 20:27:10,898 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    geofac_div (20480, 3)
2024-04-17 20:27:10,899 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    geofac_n2s (20480, 4)
2024-04-17 20:27:10,900 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    nudgecoeff_e (30720,)
2024-04-17 20:27:10,900 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    bdy_halo_c (20480,)
2024-04-17 20:27:10,901 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    mask_prog_halo_c (20480,)
2024-04-17 20:27:10,901 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    rayleigh_w (36,)
2024-04-17 20:27:10,912 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    exner_exfac (20480, 35)
2024-04-17 20:27:10,926 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    exner_ref_mc (20480, 35)
2024-04-17 20:27:10,939 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    wgtfac_c (20480, 36)
2024-04-17 20:27:10,953 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    wgtfacq_c_dsl (20480, 35)
2024-04-17 20:27:10,966 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    inv_ddqz_z_full (20480, 35)
2024-04-17 20:27:10,981 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    rho_ref_mc (20480, 35)
2024-04-17 20:27:10,994 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    theta_ref_mc (20480, 35)
2024-04-17 20:27:10,997 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    vwind_expl_wgt (20480,)
2024-04-17 20:27:11,009 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    d_exner_dz_ref_ic (20480, 36)
2024-04-17 20:27:11,022 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    ddqz_z_half (20480, 36)
2024-04-17 20:27:11,037 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    theta_ref_ic (20480, 36)
2024-04-17 20:27:11,050 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    d2dexdz2_fac1_mc (20480, 35)
2024-04-17 20:27:11,065 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    d2dexdz2_fac2_mc (20480, 35)
2024-04-17 20:27:11,079 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    rho_ref_me (30720, 35)
2024-04-17 20:27:11,094 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    theta_ref_me (30720, 35)
2024-04-17 20:27:11,110 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    ddxn_z_full (30720, 35)
2024-04-17 20:27:11,145 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    zdiff_gradp_dsl (30720, 2, 35)
2024-04-17 20:27:11,181 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    vertoffset_gradp_dsl (30720, 2, 35)
2024-04-17 20:27:11,197 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    ipeidx_dsl (30720, 35)
2024-04-17 20:27:11,209 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    pg_exdist_dsl (30720, 35)
2024-04-17 20:27:11,225 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    ddqz_z_full_e (30720, 35)
2024-04-17 20:27:11,242 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    ddxt_z_full (30720, 35)
2024-04-17 20:27:11,255 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    wgtfac_e (30720, 36)
2024-04-17 20:27:11,264 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    vwind_impl_wgt (20480,)
2024-04-17 20:27:11,264 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    hmask_dd3d (30720,)
2024-04-17 20:27:11,265 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    scalfac_dd3d (35,)
2024-04-17 20:27:11,278 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    coeff1_dwdz (20480, 35)
2024-04-17 20:27:11,291 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    coeff2_dwdz (20480, 35)
2024-04-17 20:27:11,294 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    coeff_gradekin (30720, 2)
2024-04-17 20:27:11,308 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    ddqz_z_full (20480, 35)
2024-04-17 20:27:11,317 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    cell_center_lat (20480,)
2024-04-17 20:27:11,318 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    cell_center_lon (20480,)
2024-04-17 20:27:11,318 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    v_lat (10242,)
2024-04-17 20:27:11,319 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    v_lon (10242,)
2024-04-17 20:27:11,319 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    edges_center_lat (30720,)
2024-04-17 20:27:11,320 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    edges_center_lon (30720,)
2024-04-17 20:27:11,320 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    vct_a (36,)
2024-04-17 20:27:11,320 dycore_driver.py     (334 ) : initialize          :  INFO     initializing diffusion
2024-04-17 20:27:25,805 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    wgtfac_c (20480, 36)
2024-04-17 20:27:25,816 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    ddqz_z_half (20480, 36)
2024-04-17 20:27:25,829 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    theta_ref_mc (20480, 35)
2024-04-17 20:27:25,842 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    theta_ref_ic (20480, 36)
2024-04-17 20:27:25,856 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    exner_ref_mc (20480, 35)
2024-04-17 20:27:25,869 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    d_exner_dz_ref_ic (20480, 36)
2024-04-17 20:27:25,883 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    geopot (20480, 35)
2024-04-17 20:27:25,886 serialbox_utils.py   (85  ) : _get_field          :  DEBUG    c_lin_e (30720, 2)
2024-04-17 20:27:25,895 initialization_utils.py (198 ) : model_initialization_jabw:  INFO     In Newton iteration, k = 34
2024-04-17 20:27:26,120 initialization_utils.py (198 ) : model_initialization_jabw:  INFO     In Newton iteration, k = 33
2024-04-17 20:27:26,343 initialization_utils.py (198 ) : model_initialization_jabw:  INFO     In Newton iteration, k = 32
2024-04-17 20:27:26,566 initialization_utils.py (198 ) : model_initialization_jabw:  INFO     In Newton iteration, k = 31
2024-04-17 20:27:26,787 initialization_utils.py (198 ) : model_initialization_jabw:  INFO     In Newton iteration, k = 30
2024-04-17 20:27:27,009 initialization_utils.py (198 ) : model_initialization_jabw:  INFO     In Newton iteration, k = 29
2024-04-17 20:27:27,231 initialization_utils.py (198 ) : model_initialization_jabw:  INFO     In Newton iteration, k = 28
2024-04-17 20:27:27,455 initialization_utils.py (198 ) : model_initialization_jabw:  INFO     In Newton iteration, k = 27
2024-04-17 20:27:27,677 initialization_utils.py (198 ) : model_initialization_jabw:  INFO     In Newton iteration, k = 26
2024-04-17 20:27:27,899 initialization_utils.py (198 ) : model_initialization_jabw:  INFO     In Newton iteration, k = 25
2024-04-17 20:27:28,121 initialization_utils.py (198 ) : model_initialization_jabw:  INFO     In Newton iteration, k = 24
2024-04-17 20:27:28,348 initialization_utils.py (198 ) : model_initialization_jabw:  INFO     In Newton iteration, k = 23
